monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.370900442Z level=info msg="Migration successfully executed" id="create index IDX_dashboard_org_id - v2" duration=307.951µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.372193206Z level=info msg="Executing migration" id="create index UQE_dashboard_org_id_slug - v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.372513683Z level=info msg="Migration successfully executed" id="create index UQE_dashboard_org_id_slug - v2" duration=320.32µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.373885359Z level=info msg="Executing migration" id="copy dashboard v1 to v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.374035276Z level=info msg="Migration successfully executed" id="copy dashboard v1 to v2" duration=149.885µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.375409876Z level=info msg="Executing migration" id="drop table dashboard_v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.375796153Z level=info msg="Migration successfully executed" id="drop table dashboard_v1" duration=386.195µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.377183457Z level=info msg="Executing migration" id="alter dashboard.data to mediumtext v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.377214793Z level=info msg="Migration successfully executed" id="alter dashboard.data to mediumtext v1" duration=31.428µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.378582954Z level=info msg="Executing migration" id="Add column updated_by in dashboard - v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.379880564Z level=info msg="Migration successfully executed" id="Add column updated_by in dashboard - v2" duration=1.297669ms
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.38125651Z level=info msg="Executing migration" id="Add column created_by in dashboard - v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.382557251Z level=info msg="Migration successfully executed" id="Add column created_by in dashboard - v2" duration=1.300556ms
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.383988242Z level=info msg="Executing migration" id="Add column gnetId in dashboard"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.385220969Z level=info msg="Migration successfully executed" id="Add column gnetId in dashboard" duration=1.238645ms
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.386628929Z level=info msg="Executing migration" id="Add index for gnetId in dashboard"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.387091899Z level=info msg="Migration successfully executed" id="Add index for gnetId in dashboard" duration=462.519µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.38842266Z level=info msg="Executing migration" id="Add column plugin_id in dashboard"
